,CustomID,A,B,C,D,A1,A2,A3,A4,B1,B2,B3,B4,C1,D1,D2,group
82,C00083,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5
83,C00084,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5
84,C00085,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5
85,C00086,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5
86,C00087,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5
87,C00088,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5
88,C00089,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5
89,C00090,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5
90,C00091,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5
91,C00092,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5
92,C00093,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5
93,C00094,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5
94,C00095,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5
95,C00096,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5
96,C00097,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5
97,C00098,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5
98,C00099,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5
99,C00100,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5
100,C00101,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5
101,C00102,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5
102,C00103,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5
103,C00104,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5
104,C00105,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5
105,C00106,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5
106,C00107,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5
107,C00108,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5
108,C00109,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5
109,C00110,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5
110,C00111,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5
111,C00112,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5
112,C00113,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5
113,C00114,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5
114,C00115,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5
115,C00116,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5
116,C00117,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5
117,C00118,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5
118,C00119,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5
119,C00120,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5
120,C00121,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5
121,C00122,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5
122,C00123,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5
123,C00124,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5
124,C00125,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5
125,C00126,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5
126,C00127,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5
127,C00128,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5
128,C00129,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5
129,C00130,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5
130,C00131,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5
131,C00132,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5
132,C00133,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5
133,C00134,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5
134,C00135,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5
135,C00136,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5
136,C00137,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5
137,C00138,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5
138,C00139,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5
139,C00140,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5
140,C00141,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,9
141,C00142,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5
142,C00143,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5
143,C00144,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5
144,C00145,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5
145,C00146,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5
146,C00147,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5
147,C00148,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5
148,C00149,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5
